district_id,year,species,Lambda_import_year,mean_p_est_year,mean_p_local_major,p_ge1_major_year,mean_q_import_year,mean_p_month_major,mean_temp_c_year,mean_rh_year
TUR.10.4_1,2045,aegypti,0.021271971357391527,3.069709297864875e-11,3.069709297864875e-11,1.1080025785759062e-12,1.7422445056403113e-4,9.233354821465885e-14,12.334752687130935,81.13409477379486
TUR.10.4_1,2046,aegypti,0.022068894162024486,1.2573098385208383e-5,1.2573098385208383e-5,4.709549696890747e-7,1.8075083745270706e-4,3.924624751109699e-8,13.62116397749838,79.78309843844735
TUR.10.4_1,2047,aegypti,0.022111196682074306,3.9687873147573975e-9,3.9687873147573975e-9,1.4899792510902898e-10,1.8109727192234618e-4,1.2416493759085748e-11,12.781646165564228,82.47695149885182
TUR.10.4_1,2048,aegypti,0.022460839899953962,5.24239074489772e-4,5.24239074489772e-4,1.681280584842071e-5,1.8369982076833305e-4,1.4010671540535629e-6,12.471287278646795,81.7189806889153
TUR.10.4_1,2049,aegypti,0.02475229866511451,0.008523376743467695,0.008523376743467695,3.581497868789807e-4,2.0272617929648998e-4,2.984581557335016e-5,13.31944202712632,80.82809565371835
TUR.10.4_1,2050,aegypti,0.02209081662051619,0.003061272921496735,0.003061272921496735,1.148159524898551e-4,1.809303703976898e-4,9.567996066643195e-6,12.701919101987846,79.87268183535897
TUR.10.4_1,2051,aegypti,0.022419129886549916,4.2014228386862607e-8,4.2014228386862607e-8,1.3696753731196054e-9,1.8361907207974557e-4,1.1413961442663378e-10,13.088154339109428,82.325204113191
TUR.10.4_1,2052,aegypti,0.022285655205975544,4.6755201484868315e-7,4.6755201484868315e-7,1.4907376666428718e-8,1.8226719182822446e-4,1.2422813888690598e-9,12.647042834077842,82.56150044904713
TUR.10.4_1,2053,aegypti,0.022287446439684014,3.1292041952658156e-4,3.1292041952658156e-4,1.1841500871523358e-5,1.825406594285206e-4,9.867917393121168e-7,12.549661560172407,81.26835240827565
TUR.10.4_1,2054,aegypti,0.021252028193401058,2.6319819019693966e-4,2.6319819019693966e-4,9.497219555787417e-6,1.7406112570970503e-4,7.914349629822848e-7,12.846300356899269,82.6250062575595
TUR.10.4_1,2055,aegypti,0.022888989843386658,2.264005688340509e-10,2.264005688340509e-10,8.798517470154366e-12,1.8746694748867734e-4,7.332097891795305e-13,12.925199770246513,81.99101628767018
TUR.10.4_1,2056,aegypti,0.022557386973446898,5.960105581611838e-4,5.960105581611838e-4,2.2794851530782978e-5,0.00018448936438076693,1.8995709609078333e-6,12.52403895389494,81.95241918073658
TUR.10.4_1,2057,aegypti,0.0230502271712278,0.004668620442455138,0.004668620442455138,1.7316981881254634e-4,1.8878738203412238e-4,1.44313366166234e-5,12.988449189379383,82.89372179812753
TUR.10.4_1,2058,aegypti,0.023667003974965895,1.8119244846777368e-5,1.8119244846777368e-5,7.132186672365037e-7,1.9383838633637204e-4,5.943489313671909e-8,13.645933661177326,80.39449872480397
TUR.10.4_1,2059,aegypti,0.022380901899453742,0.010465382442258598,0.010465382442258598,3.976099605301764e-4,1.8330600671058925e-4,3.313416407945321e-5,12.601645328913696,82.9853635421054
TUR.10.4_1,2060,aegypti,0.02573747075963218,0.023287042201514643,0.023287042201514643,0.0010156507099363665,2.1049508726191565e-4,8.463757412452422e-5,14.217817448888786,78.62787745303476
TUR.10.4_1,2061,aegypti,0.023239024419120555,0.0061296957563232194,0.0061296957563232194,2.41826936837497e-4,1.9033351284409675e-4,2.0152245627125254e-5,13.494274689072935,81.76453326052987
TUR.10.4_1,2062,aegypti,0.024268243807932112,0.014845527854534217,0.014845527854534217,5.150343065047913e-4,1.9876212483295e-4,4.291952855176029e-5,13.501056436016727,79.08673912193939
TUR.10.4_1,2063,aegypti,0.022213169388547734,0.002286538226672248,0.002286538226672248,8.623463394141773e-5,1.8193237197350332e-4,7.1862195240672095e-6,13.07500312061565,80.9843501041985
TUR.10.4_1,2064,aegypti,0.025025850776080737,1.5309003294521525e-7,1.5309003294521525e-7,6.495830429109617e-9,2.0467575038356686e-4,5.413192024258014e-10,14.000007384334571,79.20497566368743
TUR.10.4_1,2065,aegypti,0.023876637338473953,0.025156521560124764,0.025156521560124764,0.001019336490638234,1.9555514177229302e-4,8.494470755344523e-5,13.748484088296262,80.23229080345794
TUR.10.4_1,2066,aegypti,0.02209932686508874,0.030076722824235933,0.030076722824235933,0.001127907735013367,1.8100006463629229e-4,9.399231933319523e-5,12.830351986800201,82.32378631737396
TUR.10.4_1,2067,aegypti,0.02315622578191844,2.2048076467902818e-8,2.2048076467902818e-8,7.3050587801049e-10,1.896554443764816e-4,6.08754898342075e-11,12.77334870230612,83.21141169375741
TUR.10.4_1,2068,aegypti,0.024098668813131004,0.012140657477158383,0.012140657477158383,4.95937022324755e-4,1.970935778907723e-4,4.132808519372958e-5,13.409683499052692,81.50201692090992
TUR.10.4_1,2069,aegypti,0.02248008446388604,2.9305683871272412e-9,2.9305683871272412e-9,1.0027845220861309e-10,1.8411825500455614e-4,8.35653768405109e-12,12.532065365030933,80.27446482486093
TUR.10.4_1,2070,aegypti,0.023438225822284553,5.439302005880738e-4,5.439302005880738e-4,2.164604037580009e-5,1.919648441885228e-4,1.803836697983341e-6,13.005782915467588,84.12080945478444
TUR.10.4_1,2071,aegypti,0.024393553339338507,0.023600731372023138,0.023600731372023138,9.443592077807983e-4,1.997883197629539e-4,7.870779162297281e-5,13.80962037376023,80.34171730187103
TUR.10.4_1,2072,aegypti,0.02563749457613147,4.848545359036358e-4,4.848545359036358e-4,1.7789103158971642e-5,2.0967752529909198e-4,1.4824256353481353e-6,13.921119325672157,80.58436479078297
TUR.10.4_1,2073,aegypti,0.025029341918131543,0.01306338792009728,0.01306338792009728,5.404763207242924e-4,2.049949523916609e-4,4.504268601840389e-5,13.823424292916624,79.11689303225839
TUR.10.4_1,2074,aegypti,0.026419590808148378,0.03585215218469427,0.03585215218469427,0.00159507079494281,2.163799424983829e-4,1.3292860496612788e-4,14.775342298859922,80.45024798220956
TUR.10.4_1,2075,aegypti,0.025506242195700676,0.026539102203957894,0.026539102203957894,0.0011486782902492276,2.0890038843402828e-4,9.572319085423182e-5,14.563957764024106,80.1146048496819
TUR.39.3_1,2025,albopictus,0.0016598764433059306,1.7880370460539308e-7,1.7880370460539308e-7,5.030053040755433e-10,1.3596181080673583e-5,4.1917108672961945e-11,12.44291210253997,61.36278553081042
TUR.39.3_1,2026,albopictus,0.0015726712202732396,1.5337254832298308e-8,1.5337254832298308e-8,3.99956734398188e-11,1.2881881355638244e-5,3.332972786651567e-12,12.23431438007666,63.45605869365222
TUR.39.3_1,2027,albopictus,0.0015547631570188237,6.582764242103374e-7,6.582764242103374e-7,1.7375303418276644e-9,1.2735195979468594e-5,1.4479419515230538e-10,12.396311035242809,62.171394857490924
TUR.39.3_1,2028,albopictus,0.0015410875695860094,1.1681039217004141e-9,1.1681039217004141e-9,2.975952817507732e-12,1.260527911868999e-5,2.4799606812564434e-13,12.160385904696716,57.404668363655475
TUR.39.3_1,2029,albopictus,0.0015398013132787679,7.418860754592841e-8,7.418860754592841e-8,1.9334633893919317e-10,1.2612643139249998e-5,1.611219491159943e-11,12.126187153644494,59.985989444181186
TUR.39.3_1,2030,albopictus,0.0015160743003045395,5.2707390063388057e-8,5.2707390063388057e-8,1.351012635097959e-10,1.2418294541201766e-5,1.1258438625816325e-11,11.855081353820495,63.03100764028714
TUR.39.3_1,2031,albopictus,0.0017187720957142166,6.885133242979605e-9,6.885133242979605e-9,1.9435231202180603e-11,1.4078596217381723e-5,1.619602600181717e-12,12.851777134326232,62.101914597277705
TUR.39.3_1,2032,albopictus,0.0016599116158069708,2.0790100357025626e-8,2.0790100357025626e-8,5.7998383873325565e-11,1.3577189276525736e-5,4.833198656110464e-12,12.71227833428694,59.06754608226306
TUR.39.3_1,2033,albopictus,0.0016278647565641394,2.8464793803556488e-9,2.8464793803556488e-9,7.57316431787558e-12,1.3333972782349676e-5,6.310970264896317e-13,12.818412282056741,61.55036881836739
TUR.39.3_1,2034,albopictus,0.0016540572985959258,6.766856223509865e-8,6.766856223509865e-8,1.8049284289389789e-10,1.3548516368172558e-5,1.5041070241158156e-11,12.166059968856109,66.0361260103433
TUR.39.3_1,2035,albopictus,0.0014656433854380916,8.796831730897846e-9,8.796831730897846e-9,2.1300072816643478e-11,1.2005213425092531e-5,1.7750060680536233e-12,11.269956566877298,65.59979648662097
TUR.39.3_1,2036,albopictus,0.0016242420028622594,3.987595416796164e-9,3.987595416796164e-9,1.0932477145786379e-11,1.3285433131273358e-5,9.110397621488648e-13,12.55483092664394,61.03918047023303
TUR.39.3_1,2037,albopictus,0.0016067447008347709,7.149340187237914e-8,7.149340187237914e-8,1.93702276440888e-10,1.316097798535291e-5,1.6141856370074e-11,12.4546032925319,59.05204474203275
TUR.39.3_1,2038,albopictus,0.0016671018952181484,7.487274665887723e-9,7.487274665887723e-9,2.061029125144387e-11,1.365536487560326e-5,1.7175242709536558e-12,13.05555120903962,59.807497215991084
TUR.39.3_1,2039,albopictus,0.0016085390101051404,1.6258358462046632e-7,1.6258358462046632e-7,4.440220413570728e-10,1.3175675209633106e-5,3.700183677975607e-11,12.822846505033107,61.24761584671822
