district_id,province_name,district_name,pi_scenario,year,month,V_TR,A_d,V_in_day,rate_pp_year,daily_rate,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month,eta_sens,scale_factor
TUR.59.4_1,Mugla,Fethiye,low,2067,8,0.23513635462383914,2193928,10047.97467293547,1.9441070114292855e-4,6.237876034087958e-7,1.8713610592246965e-6,1.6716641364809814,1.171141680502561,0.25,31,3,0.0028205082790511166,0.00846152483715335,0.08743575665058462,0.08743575665058462,0.008425826893171617,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2067,9,0.23513635462383914,2193928,8275.678395785304,1.9441070114292855e-4,6.237876034087958e-7,1.8713610592246965e-6,1.3768102756615694,1.171141680502561,0.25,30,3,0.0023230173432809585,0.0069690520298428755,0.06969052029842876,0.06969052029842876,0.006944824500386915,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2067,10,0.23513635462383914,2193928,7892.260334504628,1.9441070114292855e-4,6.237876034087958e-7,1.8713610592246965e-6,1.3130216771444592,1.171141680502561,0.25,31,3,0.0022153902988883457,0.006646170896665037,0.06867709926553871,0.06867709926553871,0.0066241339503354535,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2067,11,0.23513635462383914,2193928,4730.499200272766,1.9441070114292855e-4,6.237876034087958e-7,1.8713610592246965e-6,0.7870049555407285,1.171141680502561,0.25,30,3,0.0013278707991126032,0.0039836123973378094,0.0398361239733781,0.0398361239733781,0.003975688339089345,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2067,12,0.23513635462383914,2193928,3765.396644788262,1.9441070114292855e-4,6.237876034087958e-7,1.8713610592246965e-6,0.6264425155919956,1.171141680502561,0.25,31,3,0.001056962498038812,0.0031708874941164364,0.03276583743920317,0.03276583743920317,0.003165865539785928,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2068,1,0.23513635462383914,2193928,3774.6937072740748,1.9441070114292855e-4,5.985658680003322e-7,1.7956959917908577e-6,0.6279892517689902,1.1237886625361213,0.25,31,3,0.0010167303540585344,0.0030501910621756035,0.03151864097581457,0.03151864097581457,0.0030455439554728514,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2068,2,0.23513635462383914,2193928,3126.112102751823,1.9441070114292855e-4,5.985658680003322e-7,1.7956959917908577e-6,0.520085854004514,1.1237886625361213,0.25,29,3,8.420320459200507e-4,0.002526096137760152,0.02441892933168147,0.02441892933168147,0.0025229082417871362,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2068,3,0.23513635462383914,2193928,3466.1861837865263,1.9441070114292855e-4,5.985658680003322e-7,1.7956959917908577e-6,0.5766633896290498,1.1237886625361213,0.25,31,3,9.336324955539472e-4,0.0028008974866618416,0.02894260736217236,0.02894260736217236,0.0027969786329195,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2068,4,0.23513635462383914,2193928,4736.173495974438,1.9441070114292855e-4,5.985658680003322e-7,1.7956959917908577e-6,0.7879489782849164,1.1237886625361213,0.25,30,3,0.0012757091644721088,0.0038271274934163265,0.03827127493416326,0.03827127493416326,0.003819813374654313,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2068,5,0.23513635462383914,2193928,6406.372474748733,1.9441070114292855e-4,5.985658680003322e-7,1.7956959917908577e-6,1.0658170884747757,1.1237886625361213,0.25,31,3,0.0017255846062238366,0.005176753818671509,0.053493122792938934,0.053493122792938934,0.005163377520510104,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2068,6,0.23513635462383914,2193928,7445.890982598921,1.9441070114292855e-4,5.985658680003322e-7,1.7956959917908577e-6,1.2387599814800696,1.1237886625361213,0.25,30,3,0.002005583488914686,0.006016750466744059,0.060167504667440586,0.060167504667440586,0.0059986860714655865,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2068,7,0.23513635462383914,2193928,8461.901530606445,1.9441070114292855e-4,5.985658680003322e-7,1.7956959917908577e-6,1.407791895937949,1.1237886625361213,0.25,31,3,0.0022792503992158375,0.0068377511976475125,0.07065676237569096,0.07065676237569096,0.006814426968963061,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2068,8,0.23513635462383914,2193928,10047.97467293547,1.9441070114292855e-4,5.985658680003322e-7,1.7956959917908577e-6,1.6716641364809814,1.1237886625361213,0.25,31,3,0.0027064661768709418,0.008119398530612826,0.08390045148299918,0.08390045148299918,0.008086525244965337,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2068,9,0.23513635462383914,2193928,8275.678395785304,1.9441070114292855e-4,5.985658680003322e-7,1.7956959917908577e-6,1.3768102756615694,1.1237886625361213,0.25,30,3,0.00222909037869928,0.0066872711360978394,0.0668727113609784,0.0668727113609784,0.006664961097268329,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,low,2068,10,0.23513635462383914,2193928,7892.260334504628,1.9441070114292855e-4,5.985658680003322e-7,1.7956959917908577e-6,1.3130216771444592,1.1237886625361213,0.25,31,3,0.00212581503732599,0.00637744511197797,0.0659002661571057,0.0659002661571057,0.006357152370431329,0.15,0.6
